title,anime_types,anime_episodes,anime_ratings,anime_averages,anime_reviews,anime_members
Ginga Eiyuu Densetsu,OVA,110,9.70(3558),8.76(3686),8.65(20),8896
Gintama (2015),TVSeries,51,9.63(1783),8.74(1814),9.83(2),4722
Ashita no Joe 2,TVSeries,47,9.62(462),8.19(473),N/A(0),1211
Mushishi Zoku Shou (2014),TVSeries,10,9.59(2460),8.65(2483),8.91(2),5686
Hagane no Renkinjutsushi (2009),TVSeries,64,9.55(12919),8.97(13202),9.27(11),25442
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,9.49(1584),8.52(1593),N/A(0),3709
Steins;Gate,TVSeries,24,9.46(11680),8.83(11928),8.46(12),21928
Gintama`,TVSeries,51,9.44(2879),8.74(2932),N/A(0),7049
Sangatsu no Lion (2017),TVSeries,22,9.43(1885),8.54(1901),5.16(1),4096
Mushishi Zoku Shou,TVSeries,11,9.42(2828),8.56(2848),8.41(2),6609
Gintama` (2012),TVSeries,13,9.40(2224),8.62(2252),N/A(0),5373
Suzumiya Haruhi no Shoushitsu,Movie,1,9.39(6891),8.67(6953),8.09(5),12987
Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare,Movie,1,9.35(1984),8.59(2005),9.77(3),3941
Gintama: The Final,Movie,1,9.35(454),8.53(463),7.05(3),1180
Kusuriya no Hitorigoto,TVSeries,24,9.31(194),8.60(201),N/A(0),960
Owarimonogatari (2017),TVSpecial,2,9.30(1796),8.43(1810),6.00(1),4311
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi Hen,TVSeries,12,9.29(1159),8.23(1163),N/A(0),2708
Mushishi Tokubetsu Hen: Hihamu Kage,TVSpecial,1,9.26(2584),8.46(2596),N/A(0),5295
Clannad: After Story,TVSeries,22,9.24(8983),8.74(9191),8.53(9),17625
Gintama.,TVSeries,12,9.24(1295),8.50(1309),N/A(0),3319
Aria the Origination,TVSeries,13,9.22(2591),8.53(2655),8.43(10),6871
Fruits Basket the Final,TVSeries,13,9.20(672),8.37(675),N/A(0),1823
Sousou no Frieren,TVSeries,28,9.20(398),8.58(417),N/A(0),1678
Hunter x Hunter (2011),TVSeries,148,9.19(5688),8.64(5774),7.74(2),12470
Gintama. (2018),TVSeries,14,9.16(837),8.46(843),4.00(1),2430
Usagi Drop,TVSeries,11,9.15(6692),8.57(6756),7.44(3),12270
Eiga Koe no Katachi,Movie,1,9.13(5161),8.46(5196),7.09(5),8483
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Movie,3,9.13(169),8.01(170),N/A(0),566
The First Slam Dunk,Movie,1,9.13(43),8.10(44),N/A(0),122
Ping Pong the Animation,TVSeries,11,9.12(2730),8.21(2744),6.33(4),5117
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku Hen,OVA,4,9.12(11449),8.89(11787),9.20(20),15528
Shingeki no Kyojin Season 3 (2019),TVSeries,10,9.12(3616),8.49(3649),N/A(0),7380
Cross Game,TVSeries,50,9.11(3243),8.66(3299),7.53(5),6442
Blue Giant,Movie,1,9.10(40),8.38(40),N/A(0),123
Kidou Senshi Gundam: The Origin,OVA,6,9.08(793),8.10(797),9.08(4),2309
Kimi no Na wa.,Movie,1,9.08(6616),8.44(6684),6.77(6),10580
Kono Sekai no Katasumi ni,Movie,1,9.07(1136),8.24(1141),N/A(0),2636
Shouwa Genroku Rakugo Shinjuu (2016),TVSeries,13,9.07(1791),8.15(1796),5.83(1),4334
Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TVSeries,10,9.05(2261),8.37(2272),7.16(1),4272
Ginga Eiyuu Densetsu Gaiden,OVA,24,9.03(870),8.06(876),9.08(2),2612
Monogatari Series: Second Season,TVSeries,26,9.02(4373),8.35(4402),7.44(3),9948
Ginga Eiyuu Densetsu Gaiden (1999),OVA,28,9.01(790),8.05(796),8.41(2),2442
Made in Abyss,TVSeries,13,9.01(5187),8.39(5239),6.26(5),10023
Nodame Cantabile,TVSeries,23,8.99(7857),8.77(7984),8.21(12),13458
Code Geass: Hangyaku no Lelouch R2,TVSeries,25,8.98(14743),8.74(15179),7.60(17),25509
Gekijouban Violet Evergarden,Movie,1,8.97(843),8.20(850),N/A(0),2441
Ginga Eiyuu Densetsu: Aratanaru Tatakai no Overture,Movie,1,8.96(1248),8.03(1255),8.83(2),3033
Mushishi,TVSeries,26,8.95(9898),8.68(10082),8.42(15),18907
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie,3,8.93(203),7.93(204),7.66(1),707
Ookami Kodomo no Ame to Yuki,Movie,1,8.93(4598),8.35(4617),7.19(5),8501
Yojouhan Shinwa Taikei,TVSeries,11,8.93(3476),8.19(3505),6.28(8),7829
Hajime no Ippo: The Fighting! - New Challenger,TVSeries,26,8.92(3141),8.62(3209),6.08(2),6294
Eve no Jikan Gekijouban,Movie,1,8.91(3516),8.37(3539),9.33(4),7585
Natsume Yuujinchou Shi,TVSeries,13,8.91(2586),8.34(2605),7.50(1),5921
Uchuu Senkan Yamato 2199,OVA,26,8.91(1886),8.29(1897),8.21(6),4731
Fate/Zero (2012),TVSeries,12,8.90(7103),8.39(7147),7.73(5),14105
Natsume Yuujinchou Roku,TVSeries,11,8.90(1059),8.17(1067),N/A(0),2873
Kono Sekai no (Sara ni Ikutsumo no) Katasumi ni,Movie,1,8.89(55),8.11(56),N/A(0),199
Koukaku Kidoutai S.A.C. 2nd GIG,TVSeries,26,8.88(8092),8.64(8217),8.94(6),16458
Gekijouban Made in Abyss: Fukaki Tamashii no Reimei,Movie,1,8.87(1788),8.22(1797),3.00(1),3954
title,anime_types,anime_episodes,anime_ratings,anime_averages,anime_reviews,anime_members
Ginga Eiyuu Densetsu,OVA,110,9.70(3558),8.76(3686),8.65(20),8896
Gintama (2015),TVSeries,51,9.63(1783),8.74(1814),9.83(2),4722
Ashita no Joe 2,TVSeries,47,9.62(462),8.19(473),N/A(0),1211
Mushishi Zoku Shou (2014),TVSeries,10,9.59(2460),8.65(2483),8.91(2),5686
Hagane no Renkinjutsushi (2009),TVSeries,64,9.55(12919),8.97(13202),9.27(11),25442
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,9.49(1584),8.52(1593),N/A(0),3709
Steins;Gate,TVSeries,24,9.46(11680),8.83(11928),8.46(12),21928
Gintama`,TVSeries,51,9.44(2879),8.74(2932),N/A(0),7049
Sangatsu no Lion (2017),TVSeries,22,9.43(1885),8.54(1901),5.16(1),4096
Mushishi Zoku Shou,TVSeries,11,9.42(2828),8.56(2848),8.41(2),6609
Gintama` (2012),TVSeries,13,9.40(2224),8.62(2252),N/A(0),5373
Suzumiya Haruhi no Shoushitsu,Movie,1,9.39(6891),8.67(6953),8.09(5),12987
Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare,Movie,1,9.35(1984),8.59(2005),9.77(3),3941
Gintama: The Final,Movie,1,9.35(454),8.53(463),7.05(3),1180
Kusuriya no Hitorigoto,TVSeries,24,9.31(194),8.60(201),N/A(0),960
Owarimonogatari (2017),TVSpecial,2,9.30(1796),8.43(1810),6.00(1),4311
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi Hen,TVSeries,12,9.29(1159),8.23(1163),N/A(0),2708
Mushishi Tokubetsu Hen: Hihamu Kage,TVSpecial,1,9.26(2584),8.46(2596),N/A(0),5295
Clannad: After Story,TVSeries,22,9.24(8983),8.74(9191),8.53(9),17625
Gintama.,TVSeries,12,9.24(1295),8.50(1309),N/A(0),3319
Aria the Origination,TVSeries,13,9.22(2591),8.53(2655),8.43(10),6871
Fruits Basket the Final,TVSeries,13,9.20(672),8.37(675),N/A(0),1823
Sousou no Frieren,TVSeries,28,9.20(398),8.58(417),N/A(0),1678
Hunter x Hunter (2011),TVSeries,148,9.19(5688),8.64(5774),7.74(2),12470
Gintama. (2018),TVSeries,14,9.16(837),8.46(843),4.00(1),2430
Usagi Drop,TVSeries,11,9.15(6692),8.57(6756),7.44(3),12270
Eiga Koe no Katachi,Movie,1,9.13(5161),8.46(5196),7.09(5),8483
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Movie,3,9.13(169),8.01(170),N/A(0),566
The First Slam Dunk,Movie,1,9.13(43),8.10(44),N/A(0),122
Ping Pong the Animation,TVSeries,11,9.12(2730),8.21(2744),6.33(4),5117
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku Hen,OVA,4,9.12(11449),8.89(11787),9.20(20),15528
Shingeki no Kyojin Season 3 (2019),TVSeries,10,9.12(3616),8.49(3649),N/A(0),7380
Cross Game,TVSeries,50,9.11(3243),8.66(3299),7.53(5),6442
Blue Giant,Movie,1,9.10(40),8.38(40),N/A(0),123
Kidou Senshi Gundam: The Origin,OVA,6,9.08(793),8.10(797),9.08(4),2309
Kimi no Na wa.,Movie,1,9.08(6616),8.44(6684),6.77(6),10580
Kono Sekai no Katasumi ni,Movie,1,9.07(1136),8.24(1141),N/A(0),2636
Shouwa Genroku Rakugo Shinjuu (2016),TVSeries,13,9.07(1791),8.15(1796),5.83(1),4334
